name,read,total,source,field,isEmpty
于,Yú,约 640 万,于姓源出姬姓，为周武王第三子叔虞的后裔。,主要分布于山东、河南、河北、江苏、安徽等地,
时,Shí,约 67 万,时姓源出子姓和祁姓，是一个多民族、多源流的姓氏。,主要分布于河南、山东、江苏、安徽、浙江等地,
傅,Fù,约 610 万,傅姓源出姬姓和姚姓，是一个多民族、多源流的姓氏。,主要分布于河南、山东、河北、山西、陕西等地,
皮,Pí,约 14 万,皮姓源出姬姓，为春秋时期郑国大夫子皮的后裔。,主要分布于江苏、安徽、浙江、江西、湖南等地,
卞,Biàn,约 31 万,卞姓源出姬姓，为周文王第六子曹叔振铎的后裔。,主要分布于江苏、安徽、山东、河北、浙江等地,
齐,Qí,约 170 万,齐姓源出姜姓，为姜子牙的后裔。,主要分布于山东、河南、河北、山西、陕西等地,
康,Kāng,约 330 万,康姓源出姬姓，为周武王之弟康叔的后裔。,主要分布于河南、河北、山东、山西、陕西等地,
伍,Wǔ,约 130 万,伍姓源出芈姓，为春秋时期楚国大夫伍参的后裔。,主要分布于湖南、湖北、江西、四川、广东等地,
余,Yú,约 650 万,余姓源出姒姓和隗姓，是一个多民族、多源流的姓氏。,主要分布于广东、福建、浙江、江西、安徽等地,
元,Yuán,约 200 万,元姓源出姬姓和拓跋姓，是一个多民族、多源流的姓氏。,主要分布于河南、河北、山东、山西、陕西等地,
卜,Bǔ,约 64 万,卜姓源出姒姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于河南、山东、河北、江苏、安徽等地,
顾,Gù,约 230 万,顾姓源出己姓和姒姓，是一个多民族、多源流的姓氏。,主要分布于江苏、浙江、安徽、上海、山东等地,
孟,Mèng,约 330 万,孟姓源出姬姓和子姓，是一个多民族、多源流的姓氏。,主要分布于山东、河南、河北、安徽、江苏等地,
平,Píng,约 16 万,平姓源出姬姓和姜姓，是一个多民族、多源流的姓氏。,主要分布于河南、山东、河北、山西、陕西等地,
黄,Huáng,约 2870 万,黄姓源出嬴姓，为伯益的后裔。,主要分布于广东、广西、湖南、江西、福建等地,2
和,Hé,约 15 万,和姓源出祝融氏和卞和，是一个多民族、多源流的姓氏。,主要分布于河南、河北、山东、山西、陕西等地,
穆,Mù,约 72 万,穆姓源出子姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于河南、河北、山东、山西、陕西等地,
萧,Xiāo,约 708 万,萧姓源出子姓，为春秋时期宋国始祖微子启的后裔。,主要分布于湖南、江西、湖北、安徽、江苏等地,
尹,Yǐn,约 220 万,尹姓源出少昊金天氏和兮甲，是一个多民族、多源流的姓氏。,主要分布于河南、河北、山东、山西、陕西等地,
姚,Yáo,约 520 万,姚姓源出虞舜，是一个非常古老的姓氏。,主要分布于浙江、江苏、安徽、山东、河南等地,
邵,Shào,约 300 万,邵姓源出姬姓，为周文王第五子召公奭的后裔。,主要分布于湖南、江苏、安徽、浙江、山东等地,
湛,Zhàn,人口不详,湛姓源出姒姓和姬姓，是一个多民族、多源流的姓氏。,分布不详,
汪,Wāng,约 430 万,汪姓源出漆姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于安徽、浙江、江苏、江西、湖北等地,
祁,Qí,约 28 万,祁姓源出伊祁氏和姬姓，是一个多民族、多源流的姓氏。,主要分布于山西、陕西、河北、河南、山东等地,
毛,Máo,约 320 万,毛姓源出姬姓，为周文王之子毛伯郑的后裔。,主要分布于浙江、江苏、湖南、四川、江西等地,
禹,Yǔ,约 26 万,禹姓源出姒姓，为夏禹的后裔。,主要分布于河南、山东、江苏、安徽、浙江等地,
狄,Dí,约 23 万,狄姓源出姬姓和姮姓，是一个多民族、多源流的姓氏。,主要分布于山东、河南、河北、山西、陕西等地,
米,Mǐ,约 43 万,米姓源出西域米国，为昭武九姓之一。,主要分布于湖南、湖北、四川、河南、山东等地,
贝,Bèi,约 14 万,贝姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、安徽、山东、河南等地,
明,Míng,约 27 万,明姓源出谯明氏和姬姓，是一个多民族、多源流的姓氏。,主要分布于山东、河南、河北、江苏、安徽等地,
臧,Zāng,约 39 万,臧姓源出姬姓，为春秋时期鲁国大夫臧僖伯的后裔。,主要分布于山东、江苏、安徽、浙江、河北等地,
计,Jì,约 13 万,计姓源出姒姓和地名，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、安徽、上海、山东等地,
伏,Fú,约 110 万,伏姓源出风姓，为伏羲氏的后裔。,主要分布于河南、山东、河北、江苏、安徽等地,
成,Chéng,约 60 万,成姓源出姬姓和芈姓，是一个多民族、多源流的姓氏。,主要分布于湖南、江苏、安徽、浙江、山东等地,
戴,Dài,约 470 万,戴姓源出子姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于江苏、浙江、安徽、江西、湖北等地,
谈,Tán,约 19 万,谈姓源出子姓和地名，是一个多民族、多源流的姓氏。,主要分布于江苏、浙江、安徽、上海、江西等地,
宋,Sòng,约 1000 万,宋姓源出子姓，为商朝后裔。,主要分布于河南、山东、河北、江苏、安徽等地,
茅,Máo,约 42 万,茅姓源出姬姓，为周公旦第三子茅叔的后裔。,主要分布于江苏、浙江、安徽、山东、河南等地,
庞,Páng,约 300 万,庞姓源出姬姓和高阳氏，是一个多民族、多源流的姓氏。,主要分布于河北、河南、山东、山西、陕西等地,
熊,Xióng,约 400 万,熊姓源出芈姓，为楚国君主的姓氏。,主要分布于湖北、湖南、江西、四川、重庆等地,
纪,Jì,约 130 万,纪姓源出姜姓，为炎帝的后裔。,主要分布于山东、江苏、安徽、浙江、福建等地,
舒,Shū,约 92 万,舒姓源出偃姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于安徽、江苏、浙江、江西、湖北等地,
屈,Qū,约 76 万,屈姓源出芈姓，为春秋时期楚国公族的后裔。,主要分布于湖南、湖北、江西、重庆、四川等地,
项,Xiàng,约 140 万,项姓源出姬姓和芈姓，是一个多民族、多源流的姓氏。,主要分布于湖南、湖北、江西、安徽、江苏等地,
祝,Zhù,约 130 万,祝姓源出姬姓和任姓，是一个多民族、多源流的姓氏。,主要分布于山东、江苏、安徽、浙江、河南等地,
董,Dǒng,约 780 万,董姓源出己姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于河北、山东、河南、山西、陕西等地,
梁,Liáng,约 1100 万,梁姓源出嬴姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于广东、广西、湖南、江西、四川等地,
杜,Dù,约 520 万,杜姓源出祁姓，为帝尧的后裔。,主要分布于河南、山东、河北、陕西、山西等地,
阮,Ruǎn,约 100 万,阮姓源出偃姓和地名，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、安徽、福建、广东等地,
蓝,Lán,约 130 万,蓝姓源出芈姓和嬴姓，是一个多民族、多源流的姓氏。,主要分布于福建、广东、广西、江西、浙江等地,
闵,Mǐn,约 65 万,闵姓源出姬姓，为春秋时期鲁国君主鲁闵公的后裔。,主要分布于山东、河南、河北、安徽、江苏等地,
席,Xí,约 57 万,席姓源出籍姓，为春秋时期晋国大夫籍谈的后裔。,主要分布于河南、山东、河北、山西、陕西等地,
季,Jì,约 110 万,季姓源出姬姓和芈姓，是一个多民族、多源流的姓氏。,主要分布于山东、江苏、安徽、浙江、河南等地,
麻,Má,约 23 万,麻姓源出芈姓和地名，是一个多民族、多源流的姓氏。,主要分布于四川、重庆、湖南、湖北、贵州等地,
强,Qiáng,约 46 万,强姓源出姬姓和姜姓，是一个多民族、多源流的姓氏。,主要分布于陕西、山西、河南、河北、山东等地,
贾,Jiǎ,约 370 万,贾姓源出姬姓和狐偃之后，是一个多民族、多源流的姓氏。,主要分布于山西、河北、河南、山东、陕西等地,
路,Lù,约 100 万,路姓源出炎帝和黄帝之后，是一个多民族、多源流的姓氏。,主要分布于河北、山东、河南、山西、陕西等地,
娄,Lóu,约 70 万,娄姓源出姒姓和妘姓，是一个多民族、多源流的姓氏。,主要分布于山东、河南、河北、江苏、安徽等地,
危,Wēi,约 48 万,危姓源出三苗族和姬姓，是一个多民族、多源流的姓氏。,主要分布于江西、福建、浙江、湖南、湖北等地,
江,Jiāng,约 362 万,江姓源出嬴姓，为颛顼帝玄孙伯益的后裔。,主要分布于江西、福建、浙江、安徽、广东等地,
童,Tóng,约 112 万,童姓源出颛顼帝之子老童和胥童，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、安徽、江西、福建等地,
颜,Yán,约 170 万,颜姓源出曹姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于山东、河南、河北、安徽、江苏等地,
郭,Guō,约 1490 万,郭姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于河南、河北、山东、山西、陕西等地,
梅,Méi,约 105 万,梅姓源出子姓，为商朝后裔。,主要分布于安徽、江苏、浙江、江西、湖北等地,
盛,Shèng,约 86 万,盛姓源出姬姓，为周穆王时盛国的后裔。,主要分布于浙江、江苏、安徽、山东、河南等地,
林,Lín,约 1400 万,林姓源出子姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于福建、广东、台湾、浙江、海南等地,
刁,Diāo,约 32 万,刁姓源出姬姓和职业，是一个多民族、多源流的姓氏。,主要分布于山东、河南、河北、江苏、安徽等地,
钟,Zhōng,约 624 万,钟姓源出子姓和嬴姓，是一个多民族、多源流的姓氏。,主要分布于广东、江西、湖南、福建、浙江等地,
徐,Xú,约 2000 万,徐姓源出嬴姓，为伯益之子若木的后裔。,主要分布于江苏、山东、浙江、安徽、江西等地,
邱,Qiū,约 380 万,邱姓源出姜姓，为姜子牙的后裔。,主要分布于福建、台湾、广东、江西、浙江等地,
骆,Luò,约 142 万,骆姓源出姜姓和嬴姓，是一个多民族、多源流的姓氏。,主要分布于广东、浙江、江苏、安徽、山东等地,
高,Gāo,约 1450 万,高姓源出姜姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于山东、河北、河南、江苏、安徽等地,
夏,Xià,约 570 万,夏姓源出姒姓，为大禹的后裔。,主要分布于河南、山东、安徽、江苏、浙江等地,
蔡,Cài,约 650 万,蔡姓源出姬姓，为周文王第五子蔡叔度的后裔。,主要分布于福建、广东、台湾、浙江、江西等地,
田,Tián,约 685 万,田姓源出妫姓，为舜帝的后裔。,主要分布于山东、河南、河北、陕西、山西等地,
樊,Fán,约 220 万,樊姓源出姬姓和子姓，是一个多民族、多源流的姓氏。,主要分布于河南、山东、河北、山西、陕西等地,
胡,Hú,约 1650 万,胡姓源出妫姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于湖南、湖北、江西、安徽、江苏等地,
凌,Líng,约 80 万,凌姓源出姬姓，为周文王第九子康叔的后裔。,主要分布于江苏、安徽、浙江、江西、湖南等地,
霍,Huò,约 96 万,霍姓源出姬姓，为周文王第六子霍叔处的后裔。,主要分布于山西、河北、河南、山东、陕西等地,
虞,Yú,约 65 万,虞姓源出姚姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、安徽、山东、河南等地,
万,Wàn,约 270 万,万姓源出姬姓和芮姓，是一个多民族、多源流的姓氏。,主要分布于河南、山东、河北、安徽、江苏等地,
支,Zhī,约 100 万,支姓源出姬姓和月支国，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、安徽、山东、河南等地,
柯,Kē,约 110 万,柯姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于福建、浙江、广东、台湾、安徽等地,
昝,Zǎn,约 50 万,昝姓源出子姓和地名，是一个多民族、多源流的姓氏。,主要分布于山西、陕西、河南、河北、山东等地,
管,Guǎn,约 110 万,管姓源出姬姓，为周文王第三子管叔鲜的后裔。,主要分布于山东、河南、河北、安徽、江苏等地,
卢,Lú,约 650 万,卢姓源出姜姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于广东、广西、河南、山东、河北等地,
莫,Mò,约 230 万,莫姓源出高阳氏和芈姓，是一个多民族、多源流的姓氏。,主要分布于广东、广西、湖南、江西、贵州等地,
经,Jīng,约 110 万,经姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、安徽、山东、河南等地,
房,Fáng,约 52 万,房姓源出祁姓，为帝尧的后裔。,主要分布于河南、山东、河北、山西、陕西等地,
裘,Qiú,约 32 万,裘姓源出姬姓和职业，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、安徽、江西、湖南等地,
缪,Miào,约 50 万,缪姓源出嬴姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于江苏、浙江、安徽、山东、河南等地,
干,Gān,约 15 万,干姓源出子姓和地名，是一个多民族、多源流的姓氏。,主要分布于江苏、安徽、浙江、江西、湖南等地,
解,Xiè,约 68 万,解姓源出姬姓，为周文王之子唐叔虞的后裔。,主要分布于山西、河北、河南、山东、陕西等地,
应,Yīng,约 50 万,应姓源出姬姓，为周武王第四子应叔的后裔。,主要分布于河南、山东、河北、安徽、浙江等地,
宗,Zōng,约 30 万,宗姓源出子姓和官职，是一个多民族、多源流的姓氏。,主要分布于江苏、安徽、浙江、山东、河南等地,
丁,Dīng,约 580 万,丁姓源出姜姓和子姓，是一个多民族、多源流的姓氏。,主要分布于江苏、山东、浙江、安徽、江西等地,
宣,Xuān,约 16 万,宣姓源出姬姓和子姓，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、安徽、山东、河南等地,
贲,Bēn,约 12 万,贲姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于江苏、安徽、山东、河北、浙江等地,
邓,Dèng,约 920 万,邓姓源出曼姓和李姓，是一个多民族、多源流的姓氏。,主要分布于河南、湖南、湖北、四川、广东等地,
郁,Yù,约 40 万,郁姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、上海、安徽、山东等地,
单,Shàn,约 100 万,单姓源出姬姓，为周文王之子姬臻的后裔。,主要分布于河南、山东、河北、山西、陕西等地,
杭,Háng,约 20 万,杭姓源出姒姓和地名，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、安徽、福建、广东等地,
洪,Hóng,约 240 万,洪姓源出共工氏和姬姓，是一个多民族、多源流的姓氏。,主要分布于江西、浙江、安徽、福建、台湾等地,
包,Bāo,约 480 万,包姓源出芈姓和鲍姓，是一个多民族、多源流的姓氏。,主要分布于内蒙古、辽宁、吉林、黑龙江、山东等地,
诸,Zhū,约 40 万,诸姓源出姒姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、安徽、上海、江西等地,
左,Zuǒ,约 110 万,左姓源出官名和姜姓，是一个多民族、多源流的姓氏。,主要分布于河北、山东、河南、山西、陕西等地,
石,Shí,约 410 万,石姓源出姬姓和子姓，是一个多民族、多源流的姓氏。,主要分布于河北、山东、河南、山西、陕西等地,
崔,Cuī,约 420 万,崔姓源出姜姓，为姜子牙的后裔。,主要分布于山东、河北、河南、辽宁、黑龙江等地,
吉,Jí,约 60 万,吉姓源出姞姓和官职，是一个多民族、多源流的姓氏。,主要分布于河北、山东、河南、山西、陕西等地,
钮,Niǔ,约 16 万,钮姓源出晋国钮宣子和满族姓氏，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、安徽、上海、江西等地,
龚,Gōng,约 300 万,龚姓源出姬姓和共国，是一个多民族、多源流的姓氏。,主要分布于江西、湖南、湖北、安徽、江苏等地,
程,Chéng,约 700 万,程姓源出风姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于河南、山东、河北、安徽、江苏等地,
嵇,Jī,约 40 万,嵇姓源出姒姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于江苏、安徽、浙江、山东、河南等地,
邢,Xíng,约 120 万,邢姓源出姬姓，为周公旦第四子邢侯的后裔。,主要分布于河北、河南、山东、山西、陕西等地,
滑,Huá,约 4 万,滑姓源出姬姓，为周朝滑国的后裔。,主要分布于江苏、安徽、浙江、江西、湖南等地,
裴,Péi,约 110 万,裴姓源出嬴姓和地名，是一个多民族、多源流的姓氏。,主要分布于山西、河北、河南、山东、陕西等地,
陆,Lù,约 420 万,陆姓源出妫姓和允姓，是一个多民族、多源流的姓氏。,主要分布于江苏、浙江、安徽、上海、江西等地,
荣,Róng,约 45 万,荣姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于江苏、安徽、浙江、山东、河南等地,
翁,Wēng,约 56 万,翁姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于浙江、福建、江西、台湾、广东等地,
荀,Xún,约 100 万,荀姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于河南、河北、山西、山东、陕西等地,
